country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Honduras,183,2.02,1.15,0.236,0.0519,0.0288,0.0639,0.0774,0.00984,0.00722,0.00121,0.00326,0.0108,0.00156,0.00029,0.00143,0.00275,0.00087,0.00073,0.00415,0.00006,0.00254,0.00022,0.0001,0.00126,0.00009,0.00017
Hungary,0.0396,0.0408,0.04,0.0397,0.0449,0.0565,0.0885,0.0752,0.076,0.0667,0.0683,0.0545,0.0446,0.0347,0.0289,0.028,0.0256,0.0244,0.0203,0.0135,0.0126,0.00883,0.0078,0.00821,0.00685,0.00831,0.00808
Iceland,0.00136,0.0013,0.00125,0.00111,0.00098,0.00077,0.00073,0.00065,0.00055,0.00052,0.00049,0.00045,0.00042,0.00034,0.00031,0.00029,0.00026,0.00025,0.00023,0.00024,0.00024,0.00023,0.00021,0.0002,0.00019,0.00019,0.00015
India,227000,217000,207000,197000,186000,179000,171000,162000,154000,148000,140000,131000,124000,117000,109000,104000,97700,92100,86600,80100,74900,54600,40900,27400,19400,16900,17100
Indonesia,27500,25300,23400,21800,20600,19900,18600,17800,18100,18700,19100,15700,15000,13800,13200,6120,5400,4140,2550,2400,2520,2830,2620,2940,3060,3170,3320
Iran,1150,775,510,337,224,170,116,41.4,26.7,23.6,23.9,29,36.2,35.5,6.68,4.45,4.75,5.99,9.58,16.7,14.5,13.5,12.4,11.2,9.66,8.7,6.19
Iraq,1330,1230,1160,1140,1130,989,607,549,562,644,809,929,903,421,313,122,67,37,31.5,50.6,29.8,34.2,37.5,34.8,34.3,54.4,50.1
Ireland,0.059,0.0411,0.039,0.051,0.0286,0.0416,0.0268,0.0436,0.0324,0.0412,0.0465,0.0239,0.0154,0.0115,0.0104,0.0126,0.00848,0.0089,0.00882,0.0116,0.00891,0.00863,0.00992,0.0103,0.00922,0.00836,0.00775
Israel,0.262,0.268,0.164,0.179,0.204,0.107,0.0845,0.0684,0.0678,0.0724,0.0756,0.0655,0.0639,0.0699,0.0757,0.0707,0.0706,0.0711,0.0701,0.0788,0.0816,0.0898,0.0803,0.077,0.0769,0.0722,0.0691
Italy,1.83,1.89,2.17,1.62,1.74,1.72,1.7,1.35,0.603,0.627,0.641,0.626,0.797,0.751,0.601,0.536,0.515,0.451,0.415,0.372,0.334,0.324,0.417,0.35,0.331,0.315,0.302
Jamaica,2.34,0.189,0.00114,0.00044,0.00001,0.00773,0.00205,0.00019,0.00101,0.00007,0.00015,0.00007,0.00004,0,0,0,0.00001,0,0.00072,0.00014,0,0.00038,0.00001,0,0.00001,0,0
Japan,24.8,20.5,16.5,14.3,12.3,10.6,11.2,11.8,13,12,9.62,7.92,6.41,4.92,3.77,3.04,2.48,2.23,2.04,1.95,1.83,1.84,1.84,1.72,1.67,1.61,1.54
Jordan,67.6,62.5,58.6,56,53.5,24.6,21.1,18,3.24,2.13,1.16,1.24,2.15,4.37,4.88,5.67,4.1,3.38,2.91,2.59,2.59,2.44,2.3,1.8,0.31,0.229,0.293
Kazakhstan,1.94,2.27,1.65,1.28,0.725,0.282,0.186,0.16,0.28,0.352,0.21,0.408,0.366,0.375,0.197,0.289,0.215,0.143,0.091,0.0816,0.0877,0.145,0.109,0.16,0.191,0.216,0.179
Kenya,8850,8640,8610,8650,8630,8180,8090,8020,7550,7250,6320,5530,5250,1120,824,924,1180,926,1650,1900,1090,1490,2420,1190,1460,2170,2370
Kiribati,31.4,30.4,29.5,28.6,27.4,26,24.6,22.6,21.9,4.85,3.59,3.99,5.62,9.42,16,16.3,16.2,3.18,2.14,2.36,1.69,2.58,4.71,4.36,4.48,4.94,4.7
Kuwait,0.0778,0.0336,0.0232,0.0146,0.0125,0.0136,0.0153,0.0151,0.0128,0.00941,0.0088,0.00951,0.0117,0.0093,0.00996,0.0104,0.0125,0.0173,0.0196,0.0225,0.023,0.0246,0.0247,0.0251,0.0256,0.0229,0.0208
Kyrgyz Republic,1.21,0.874,1.44,1.51,1.04,0.585,0.402,0.338,0.374,0.205,0.13,0.0794,0.0654,0.0578,0.0389,0.0477,0.0427,0.0421,0.0348,0.0435,0.0585,0.0802,0.0696,0.0619,0.071,0.14,0.102
Lao,3820,3750,3650,3520,3390,3290,3180,3050,3020,3120,3070,2810,1740,1450,1370,1320,1380,1400,312,190,210,265,96.6,137,145,51.7,75.6
Latvia,0.00534,0.0057,0.00595,0.00609,0.00669,0.00915,0.0164,0.0256,0.0318,0.0386,0.0393,0.0522,0.0662,0.0722,0.0705,0.0658,0.0674,0.0646,0.0672,0.0687,0.0585,0.0516,0.0425,0.0419,0.0385,0.0333,0.0317
Lebanon,124,104,86,70,56.5,19.1,14.3,11.6,9.91,9.58,9.76,2,1.64,2.11,3.18,6.14,10.8,9.07,6.97,1.12,0.614,0.516,0.537,0.833,0.455,0.0613,0.0439
Lesotho,90.2,88.1,87.3,86.6,90.3,92.1,94.6,99.1,99.5,96.3,45.3,8.14,7.22,10.7,12.5,32.7,66.5,70.2,47.5,51.9,50.9,10.8,10.3,15.9,13.3,24.4,56.4
Liberia,1870,1760,1630,1470,1330,1260,1160,998,922,831,764,699,667,703,535,102,67,76.2,46.1,38.9,82.1,56.8,52.2,102,169,242,222
Libya,99.8,87.8,78,71,66,27.3,25,23.5,21.9,20.8,19.3,16.5,13.6,11.4,9.95,8.91,1.49,0.924,1.05,1.06,0.633,1.27,0.944,1.19,1.95,2.92,2.77
Lithuania,0.0065,0.0088,0.0113,0.0123,0.0177,0.0212,0.0208,0.0236,0.0261,0.0229,0.0204,0.0183,0.0146,0.0126,0.0131,0.0125,0.0139,0.0111,0.012,0.0125,0.0112,0.0121,0.00954,0.0094,0.00974,0.0115,0.00928
Luxembourg,0.0382,0.0373,0.0347,0.0306,0.0263,0.02,0.019,0.0152,0.0135,0.0122,0.0103,0.00964,0.00867,0.00754,0.00629,0.00544,0.00458,0.00434,0.00376,0.00409,0.00456,0.00457,0.00354,0.00404,0.00403,0.00368,0.00355
"Macedonia, FYR",0.175,0.164,0.158,2.03,0.182,0.163,0.718,0.229,0.206,0.0292,0.0182,0.0129,0.00855,0.00797,0.00388,0.00207,0.00113,0.00038,0.00888,0.00157,0.0607,0.184,0.00183,0.00103,0.0297,0.00028,0.00028
Madagascar,6000,5980,5950,6260,6340,6030,5650,5350,5180,4610,4230,3870,3590,3280,3050,602,450,546,460,868,1860,1300,1530,1870,940,976,1250
Malawi,3370,3180,2940,2680,2490,2410,2370,2380,2490,511,379,415,504,417,691,694,329,376,509,265,354,110,101,168,150,233,424
Malaysia,800,709,643,586,537,508,460,436,406,383,338,301,111,97.2,88,20.4,12,12.4,16.1,27.1,48.5,48.4,43.9,37.9,32.1,25.6,20.6
Maldives,12.8,10.6,8.74,7.08,5.6,4.8,2.12,0.311,0.0902,0.0884,0.148,0.412,0.957,1.01,0.847,0.718,0.12,0.00731,0.00226,0.00284,0.0079,0.0258,0.0527,0.0632,0.0549,0.0484,0.0438
Mali,6770,6250,5750,5330,5070,5080,4630,4550,4380,3750,3100,2660,484,332,364,237,396,870,514,635,944,1070,439,435,475,586,175
Malta,0.0221,0.0206,0.02,0.0176,0.0159,0.013,0.0132,0.0106,0.00846,0.0084,0.00738,0.00594,0.00529,0.00441,0.00436,0.00413,0.00345,0.00364,0.0037,0.00398,0.00397,0.0042,0.00387,0.00346,0.00309,0.00293,0.00277
Marshall Islands,4.14,4.05,3.91,3.74,3.59,3.47,3.47,3.51,3.31,3.29,3.21,3.06,2.6,1.41,1.11,1.1,1.18,1.32,1.56,1.47,1.48,1.42,1.41,1.39,1.28,1.11,0.991
Mauritania,457,451,446,439,432,411,208,183,107,67.4,70.3,90.6,113,189,256,63.3,51.4,56,76.4,70,124,132,41.7,38.9,53.1,12.7,14.9
Mauritius,0.00801,0.015,0.0245,0.0361,0.0396,0.048,0.0562,0.0595,0.0491,0.0413,0.029,0.0281,0.0257,0.0282,0.0329,0.0359,0.0338,0.031,0.0289,0.027,0.0206,0.0224,0.0224,0.02,0.0146,0.0137,0.0129
Mexico,2060,149,14.4,4.23,2.85,4.95,0.039,0.22,0.181,0.135,0.445,0.0432,0.155,0.583,0.825,0.0758,0.285,0.0128,0.0117,0.00437,0.00102,0.0331,0.00302,0.00144,0.0292,0.00127,0.00231
"Micronesia, Fed. Sts.",13.9,13,12.2,11.3,10.5,8.5,8,7.49,6.79,5.41,4.7,3.73,3.13,2.44,1.84,0.591,0.459,0.459,0.511,0.694,1.12,0.77,0.539,0.537,0.426,0.085,0.0728
Moldova,0.0592,0.0378,0.0361,0.0521,0.057,0.0278,0.0243,0.0241,0.0208,0.0172,0.0174,0.015,0.0199,0.0091,0.00782,0.00689,0.00852,0.00595,0.00553,0.00639,0.00554,0.0062,0.00564,0.00635,0.00613,0.0071,0.00582
Mongolia,2.1,4.51,7.2,0.474,1.17,3.79,0.839,0.0258,0.0475,0.0569,4.86,50.1,5.43,0.0702,0.0241,0.0206,0.081,0.0339,0.0807,0.0197,0.0164,0.00185,0.00086,0.00836,0.00608,30.3,28.7
Montenegro,0.998,0.0289,0.13,0.157,0.0313,0.0306,0.0369,0.143,0.0928,0.0119,0.00761,0.00169,0.00116,0.00096,0.00118,0.00008,0.00007,0.00007,0.00005,0.00007,0.00134,0.0012,0.00005,0.00003,0.00013,0.00823,0.00793
Morocco,2620,2410,2190,1960,1720,1520,1270,1080,920,795,702,632,566,535,507,483,439,403,369,97,70.7,71.1,83.5,125,13.8,8.74,8.93
Mozambique,7130,6540,6050,5690,5480,5770,5800,5810,5030,4250,3680,3510,3300,3460,3440,3400,699,583,779,615,1060,2230,1280,1380,942,708,864
Myanmar,10200,9470,8800,8110,7500,7270,6570,6280,5270,5040,4910,4880,4740,3750,2420,1690,1550,1550,793,728,737,750,327,163,116,104,21.2
Namibia,152,151,152,155,161,168,178,189,46,11,10.7,7.79,16.3,52.1,39.8,40.5,54,23.3,25.3,34.7,20.4,22.7,32,6.67,6.23,8.89,7.18
Nepal,6950,6530,6130,5720,5280,4720,4260,3890,3460,3210,2930,2620,2310,2020,1770,451,113,94.8,123,98,214,342,407,112,120,57.7,65.4
Netherlands,0.123,0.111,0.0942,0.0886,0.0811,0.0827,0.0873,0.104,0.156,0.194,0.134,0.146,0.137,0.161,0.133,0.123,0.106,0.0843,0.0839,0.0784,0.0774,0.0798,0.0783,0.0781,0.0793,0.0746,0.0708
New Zealand,0.0384,0.0502,0.0246,0.022,0.0208,0.0118,0.00948,0.00953,0.00969,0.0081,0.00682,0.00718,0.00647,0.00835,0.00859,0.00852,0.00928,0.0106,0.0134,0.013,0.0128,0.0123,0.0109,0.0111,0.00864,0.00844,0.00808
Nicaragua,0.146,0.163,29.7,4.22,0.0366,0.0532,0.00689,0.00611,0.00467,0.00348,0.00058,0.0014,0.00425,0.00065,0.00011,0.00052,0.00115,0.00034,0.00029,0.00199,0.00002,0.00086,0.00007,0.00003,0.00033,0.00003,0.00005
Niger,12800,12600,12400,12000,11700,11300,11000,10800,10600,10400,10300,9660,9080,8460,7730,1440,935,982,1230,1000,1730,929,982,282,343,523,519
